Titel,Datum,Ort,Link
Luca Vasta live in Köln,"Fri, Jan 31, 7:00 PM",Yard Club,https://www.eventbrite.de/e/luca-vasta-live-in-koln-tickets-1115930240389?aff=ebdssbcitybrowse
fi x Mano Le Tough & Jonathan Kaspar & Neue Wellen,"Sat, Feb 1, 11:00 PM",fi,https://www.eventbrite.de/e/fi-x-mano-le-tough-jonathan-kaspar-neue-wellen-tickets-1117731929289?aff=ebdssbcitybrowse
"Mobb Deep (Havoc, Big Noyd, DJ.L.E.S.) Live in Cologne","Fri, Feb 7, 7:00 PM",Reineke Fuchs,https://www.eventbrite.com/e/mobb-deep-havoc-big-noyd-djles-live-in-cologne-tickets-1052079667607?aff=ebdssbcitybrowse
MAMAS PARTY Nacht,"Fri, Feb 7, 8:00 PM",Club Köln Einundfünfzig,https://www.eventbrite.de/e/mamas-party-nacht-tickets-1110354743929?aff=ebdssbcitybrowse
"SingAlong Köln (Karnevalslieder), 25.02.2025","Tue, Feb 25, 8:00 PM",QUATER 1,https://www.eventbrite.de/e/singalong-koln-karnevalslieder-25022025-tickets-1058007883059?aff=ebdssbcitybrowse
Köln Concert 50,"Fri, Jan 24, 7:30 PM",Christuskirche am Stadtgarten,https://www.eventbrite.co.uk/e/koln-concert-50-tickets-1058311461069?aff=ebdssbcitybrowse
fi = altshift5 w/ Len Faki & Vement,"Fri, Jan 24, 11:00 PM",fi,https://www.eventbrite.de/e/fi-altshift5-w-len-faki-vement-tickets-1116675659959?aff=ebdssbcitybrowse
OLDSCHOOL FLASHBACK präsentiert 25 Jahre Soul Channel – Save the Date!,"Sat, Jan 25, 10:00 PM",HERBRAND's ehrenfeld,https://www.eventbrite.de/e/oldschool-flashback-prasentiert-25-jahre-soul-channel-save-the-date-tickets-1106360176069?aff=ebdssbcitybrowse
Luca Vasta live in Köln,"Fri, Jan 31, 7:00 PM",Yard Club,https://www.eventbrite.de/e/luca-vasta-live-in-koln-tickets-1115930240389?aff=ebdssbcitybrowse
fi x Mano Le Tough & Jonathan Kaspar & Neue Wellen,"Sat, Feb 1, 11:00 PM",fi,https://www.eventbrite.de/e/fi-x-mano-le-tough-jonathan-kaspar-neue-wellen-tickets-1117731929289?aff=ebdssbcitybrowse
"Mobb Deep (Havoc, Big Noyd, DJ.L.E.S.) Live in Cologne","Fri, Feb 7, 7:00 PM",Reineke Fuchs,https://www.eventbrite.com/e/mobb-deep-havoc-big-noyd-djles-live-in-cologne-tickets-1052079667607?aff=ebdssbcitybrowse
