Titel,Datum,Ort,Link,Adresse,lat,lon,Datum/Uhrzeit
Start: Bachata Anfänger Kurs in Nippes,,,https://rausgegangen.de/events/start-bachata-anfanger-kurs-in-nippes-1/,"DragonGym, Lohsestraße 16",,,"Di, 14. Jan | 19:00"
Vinyasa Yoga und Meditation,,,https://rausgegangen.de/events/vinyasa-yoga-und-meditation-36/,"Venloer Straße 405, 50825 Köln",50.9518765,6.913792881588453,"Mi, 15. Jan | 08:45"
Hatha Yoga @ Nuyou Conscious Offspace w. Lara Schäffer,,,https://rausgegangen.de/events/hatha-yoga-nuyou-conscious-offspace-w-lara-schaffer-0/,"Lindenstraße 32, 50674 Köln",50.9343212,6.936971648028578,"Mi, 15. Jan | 10:30"
Bachata Schnupperkurs für Anfänger,,,https://rausgegangen.de/events/bachata-schnupperkurs-fur-anfanger-17/,"Venloer Str. 420, Eingang Lessingstr., Venloer Straße 420",,,"Fr, 17. Jan | 19:00"
AlpinVisionen: Auf Adlerschwingen über den Alpen,,,https://rausgegangen.de/events/alpinvisionen-eagle-wings-protecting-the-alps-0/,"Berufskolleg Humboldtstraße, Perlengraben 101",50.9299667,6.952598126564547,"Fr, 17. Jan | 19:30"
Kakao Yoga (Kakaozeremonie) in Köln,,,https://rausgegangen.de/events/kakao-yoga-kakaozeremonie-in-koln-2/,"Friesenstraße 50, 50670 Köln, Friesenstraße 50",,,"Sa, 18. Jan | 14:45"
Kölner Haie - Iserlohn Roosters,,,https://rausgegangen.de/events/kolner-haie-iserlohn-roosters-0/,"Willy-Brandt-Platz 3, 50679 Köln",50.9385846,6.9830722,"So, 19. Jan | 16:30"
LEAP – Lifeforce Energy Awakening Process | Open Class,,,https://rausgegangen.de/events/leap-lifeforce-energy-awakening-process-open-class-1/,"shunia Zentrum, Plankgasse 42",,,"Fr, 24. Jan | 19:00"
Lebendige Atemreise,,,https://rausgegangen.de/events/lebendige-atemreise-17/,"Raum für Resonanz, Ritterstraße 27",50.9472155,6.9520797,"Fr, 24. Jan | 19:00"
Salsa Friday Social - mit Cuban Bodymovement Workshop(Solo),,,https://rausgegangen.de/events/salsa-friday-social-mit-cuban-bodymovement-workshopsolo-0/,"Venloer Str. 420, Eingang Lessingstr., Venloer Straße 420",,,"Fr, 24. Jan | 20:00"
Antastha Yoga Master Class (mit Jeanette),,,https://rausgegangen.de/events/antastha-yoga-master-class-mit-jeanette-2/,"Raum für Resonanz, Ritterstraße 27",50.9472155,6.9520797,"Sa, 25. Jan | 15:30"
Ausverkauft | Aperol Yoga in Köln,,,https://rausgegangen.de/events/aperol-yoga-in-koln-0/,"Am Rinkenpfuhl 27-29, 50676 Köln, Am Rinkenpfuhl 27-29",,,"Sa, 25. Jan | 18:00"
Kölner Haie - EHC Red Bull München,,,https://rausgegangen.de/events/kolner-haie-ehc-red-bull-munchen-1/,"Willy-Brandt-Platz 3, 50679 Köln",50.9385846,6.9830722,"Di, 28. Jan | 19:30"
Kundalini Yoga,,,https://rausgegangen.de/events/kundalini-yoga-20/,"Filmclub-Studio 150 im FinderTV Kameraverleih, Eupener Straße 150",,,"Mi, 29. Jan | 19:30"
